DetID,MIPMPV_ADC,MIPWIDTH_ADC,MIP_SLOPE
0x18800100,410.8583513275873,245.95508198316713,0.011098995128819398
0x18800101,429.86210904093144,242.707262015161,0.010772846716968282
0x18800102,401.7676777591572,219.19033554093153,0.011620370482929607
0x18800103,380.15048162036504,209.6196850718503,0.012250982646114766
0x18800104,439.69626360534556,249.1303593152004,0.010522783697958454
0x18800105,434.5627082999154,229.73597142651982,0.010817975017872976
0x18800106,512.5311881801643,324.71563789277224,0.00874868919036859
0x18800107,417.369791187718,290.8720069761936,0.010395695139344846
0x18800200,441.6958151799837,252.59995725562214,0.010450737747925836
0x18800201,488.3382589667713,306.32706074583024,0.009210579650625538
0x18800202,467.2643419430218,270.6469993090806,0.009846571582840151
0x18800203,448.89778431847486,258.60049501016834,0.01026388504681171
0x18800204,453.7677828531867,263.0888179059206,0.010136831612164153
0x18800205,444.6006643392866,266.0784527990148,0.010257473377807896
0x18800206,512.951152886366,404.862161214495,0.008027529659035616
0x18800207,631.5381802630692,457.9174871176576,0.006764856114562245
0x18800300,702.1575974624363,356.06082701575735,0.006751544399587285
0x18800301,675.0741869253671,347.0070777970791,0.007003907671942734
0x18800302,552.7085094893783,395.26175567411275,0.007772435220304931
0x18800303,612.2256657751471,304.7762257698092,0.007770033326458373
0x18800304,663.6926918878116,339.86513850820654,0.007129332123806128
0x18800305,657.6592280536549,354.7817883264486,0.007116939373742046
0x18800306,611.4569862140287,317.6949361528354,0.007716020828032521
0x18800307,720.7172569986243,380.7273475400964,0.006523831308861704
0x18800400,715.1486556923393,399.0771672458036,0.0064938516667828045
0x18800401,562.1270431876366,383.7952280096108,0.007777447148864345
0x18800402,665.8311938933715,362.2709096024482,0.0070161406747840304
0x18800403,616.6473480645761,312.4436887078519,0.007688976689124364
0x18800404,880.0859589785043,430.61626510114183,0.00542184320494703
0x18800405,700.441665429808,357.31248587314553,0.006760331018574059
0x18800406,697.6814537321617,364.6888589364089,0.006754083598727676
0x18800407,674.3791549195599,363.2589819345755,0.006942784798609785
0x18800500,649.7511855377508,311.7846860447047,0.007368204980685331
0x18800501,704.9489404523512,333.676996715952,0.00680638087999125
0x18800502,725.7997302154665,343.57493280998926,0.006610759458270734
0x18800503,747.4763024035196,348.66870939801436,0.006433834132405713
0x18800504,612.5690256986809,324.0830021170411,0.007673166684361958
0x18800505,698.4772235395934,330.0103520126082,0.0068714420599990155
0x18800506,685.7195603034911,341.5222341547686,0.006936667453773063
0x18800507,708.1481782583371,375.2782491352308,0.0066351520969960024
0x18800600,705.6113411877845,353.59413662862255,0.00673350728107456
0x18800601,713.331025402172,368.50898639898367,0.006621697297548712
0x18800602,621.991849548973,303.3030507882305,0.0076761413860001295
0x18800603,791.4408547508808,369.9746493789643,0.006074417907318243
0x18800604,621.3392070161606,301.339308292068,0.007691384148228101
0x18800605,648.9393008774861,353.31932903982386,0.007197666258504205
0x18800606,666.982035489223,373.0331826082316,0.0069590574740406716
0x18800607,660.7469700779998,340.21478518867605,0.007153390830756101
0x18800700,552.5337924096024,364.65456451719007,0.00800749492513208
0x18800701,479.1803944319542,376.5651100183538,0.008610626585027238
0x18800702,589.9395856766837,323.5199955516816,0.007904458619599302
0x18800703,556.8353319775352,344.13457767084884,0.008114157939838093
0x18800704,503.90661602038097,378.48792880517794,0.00835467861128063
0x18800705,542.1556580181337,373.7757468542174,0.008035292030283539
0x18800706,579.2073591132037,307.3805673296935,0.008109801903454382
0x18800707,439.3835640760296,344.4698693989268,0.009400834261431972
0x18800800,602.3927395045954,338.1195936996884,0.007698525295813503
0x18800801,581.1231838509009,362.40439889011446,0.007753854592325092
0x18800802,689.663952481056,336.88138316957736,0.006920870785560293
0x18800803,627.1096841437585,368.8956171576618,0.007306709560084144
0x18800804,481.72938117590877,369.80621157559074,0.008656454913216805
0x18800805,572.9345894718857,396.8328692658417,0.0075905441774278505
0x18800806,684.5162453666777,330.1805804948399,0.006987926539871976
0x18800807,665.0944898751727,304.59201753159016,0.007250633635986725
0x18800900,573.2610711214217,306.3760142711153,0.008181498624437228
0x18800901,588.1957191024921,300.24931808870014,0.008049390091516838
0x18800902,590.133753442679,301.87716714514005,0.008019648031386134
0x18800903,598.3991348249947,293.6334984871356,0.007970077520468057
0x18800904,574.4391725202303,298.68501047266966,0.008212005968637786
0x18800905,567.9606360401567,309.0048811128386,0.008225252178255574
0x18800906,642.5468086440734,335.44494287105516,0.007335532912466855
0x18800907,583.6548693274736,307.4989019943457,0.008060391105338193
0x18800a00,591.5101515566132,294.42782767277043,0.00804232930207241
0x18800a01,621.871825632368,309.6057823677053,0.007649384498741607
0x18800a02,536.533375637387,301.5744208687609,0.008640574134098479
0x18800a03,564.9732856329251,317.20102581787404,0.00820788222053789
0x18800a04,585.0510503302586,308.848386091446,0.008037790512908033
0x18800a05,548.1963270530163,277.8620106996279,0.008648466897269953
0x18800a06,558.3591726454674,288.0435293681914,0.008461923643368957
0x18800a07,612.0496941047398,327.58824684902646,0.0076605427732427366
