# Source file /Users/cmantill/LDMX/ldmxsw/MarTB/ldmx-tb-online/near-offline/hcal/calibration_data/20220421/pedestal_DPM0_20220421_072031.raw
# Produced 2022-05-14 14:58:09 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,   94.952,    1.854
0x18800101,   94.917,    2.423
0x18800102,   92.538,    1.864
0x18800103,   91.647,    2.386
0x18800104,  103.948,    2.722
0x18800105,   99.421,    2.515
0x18800106,  103.126,    2.476
0x18800107,  102.588,    2.410
0x18800200,   95.373,    2.599
0x18800201,   97.200,    2.852
0x18800202,   96.214,    2.555
0x18800203,  106.792,    3.140
0x18800204,   93.895,    2.464
0x18800205,   95.786,    2.612
0x18800206,  107.397,    2.685
0x18800207,  107.042,    2.774
0x18800300,   90.920,    4.792
0x18800301,   91.012,    4.862
0x18800302,   97.398,    4.551
0x18800303,  101.898,    4.287
0x18800304,   91.936,    5.991
0x18800305,  104.559,    5.823
0x18800306,   99.193,    5.378
0x18800307,   98.956,    5.197
0x18800400,  105.669,    5.524
0x18800401,  101.893,    5.098
0x18800402,  106.236,    5.656
0x18800403,   99.548,    5.288
0x18800404,  100.639,    5.201
0x18800405,   95.630,    5.412
0x18800406,   95.826,    5.246
0x18800407,  103.101,    5.017
0x18800500,  104.279,    2.164
0x18800501,   88.800,    2.212
0x18800502,   94.265,    1.945
0x18800503,   94.950,    1.909
0x18800504,  105.793,    2.325
0x18800505,  104.900,    2.111
0x18800506,  103.191,    2.159
0x18800507,   90.753,    1.903
0x18800600,  108.020,    2.346
0x18800601,   92.134,    1.949
0x18800602,  102.151,    1.835
0x18800603,   96.564,    2.174
0x18800604,   96.962,    2.203
0x18800605,  102.963,    2.232
0x18800606,  102.731,    2.104
0x18800607,   94.634,    1.887
0x18800700,   98.774,    1.647
0x18800701,   93.051,    1.522
0x18800702,   91.746,    1.863
0x18800703,  100.585,    1.429
0x18800704,  101.550,    1.577
0x18800705,  102.909,    1.672
0x18800706,  164.736,    6.322
0x18800707,   91.779,    1.725
0x18800800,  102.073,    1.638
0x18800801,   98.939,    1.772
0x18800802,   94.838,    1.336
0x18800803,   95.679,    1.725
0x18800804,   93.431,    1.725
0x18800805,   95.407,    1.451
0x18800806,  103.323,    1.719
0x18800807,  102.881,    1.709
0x18800900,   93.929,    2.918
0x18800901,   94.946,    2.845
0x18800902,  100.678,    3.548
0x18800903,   95.699,    2.949
0x18800904,  101.551,    3.261
0x18800905,  108.615,    2.391
0x18800906,  101.225,    3.109
0x18800907,  103.753,    2.836
0x18800a00,   93.576,    3.716
0x18800a01,   90.892,    3.546
0x18800a02,   99.254,    3.089
0x18800a03,  104.827,    3.188
0x18800a04,  103.939,    3.299
0x18800a05,   97.983,    3.307
0x18800a06,   93.879,    3.150
0x18800a07,   90.507,    3.722
0x18800a08,   95.445,    2.687
0x18800a09,   94.398,    2.838
0x18800a0a,   93.427,    2.771
0x18800a0b,   96.436,    2.491
0x18800b00,  105.876,    2.162
0x18800b01,   95.029,    3.105
0x18800b02,  101.238,    2.146
0x18800b03,  104.753,    2.059
0x18800b04,   92.669,    3.203
0x18800b05,   92.076,    3.184
0x18800b06,   94.268,    3.056
0x18800b07,  107.136,    1.832
0x18800b08,   97.352,    2.359
0x18800b09,  102.460,    1.995
0x18800b0a,  104.809,    1.870
0x18800b0b,  107.303,    2.133
0x18800c00,   95.051,    1.990
0x18800c01,   99.252,    2.430
0x18800c02,  101.142,    2.013
0x18800c03,  107.577,    2.156
0x18800c04,  100.553,    2.328
0x18800c05,   94.419,    1.883
0x18800c06,   94.306,    1.797
0x18800c07,   99.014,    2.468
0x18800c08,  105.546,    2.092
0x18800c09,   93.830,    1.983
0x18800c0a,   92.689,    2.155
0x18800c0b,  101.720,    2.293
0x18800d00,   94.749,    1.497
0x18800d01,   97.397,    2.436
0x18800d02,  101.746,    2.328
0x18800d03,   92.126,    2.072
0x18800d04,  102.030,    2.018
0x18800d05,  103.121,    3.091
0x18800d06,   95.010,    1.867
0x18800d07,  104.762,    2.075
0x18800d08,   94.864,    1.743
0x18800d09,  106.527,    3.089
0x18800d0a,  103.965,    1.978
0x18800d0b,   94.470,    1.680
0x18800e00,   92.084,    1.923
0x18800e01,   94.846,    2.128
0x18800e02,  105.242,    2.092
0x18800e03,   91.739,    2.116
0x18800e04,  106.917,    2.205
0x18800e05,  100.534,    3.947
0x18800e06,   92.998,    2.191
0x18800e07,  104.317,    2.731
0x18800e08,   90.641,    3.694
0x18800e09,   94.153,    2.609
0x18800e0a,  103.718,    2.384
0x18800e0b,   93.901,    3.486
0x18800f00,  106.847,    4.578
0x18800f01,  105.989,    2.659
0x18800f02,   96.271,    3.068
0x18800f03,   93.198,    2.509
0x18800f04,   92.700,    1.680
0x18800f05,   92.073,    2.608
0x18800f06,   94.949,    2.017
0x18800f07,   90.067,    3.010
0x18800f08,   92.775,   17.988
0x18800f09,   97.040,   15.671
0x18800f0a,   89.420,   17.411
0x18800f0b,   94.088,   15.654
0x18801000,   94.114,   16.523
0x18801001,   97.673,   17.566
0x18801002,   92.726,   17.469
0x18801003,   92.707,   18.255
0x18801004,   93.217,   17.896
0x18801005,   94.278,   17.019
0x18801006,   93.429,   18.939
